TeamID,KenPomAdjEM
1181,38.88
1163,27.84
1277,28.3
1242,24.4
1385,25.87
1257,25.4
1417,21.66
1326,22.23
1395,17.53
1416,14.99
1378,16.37
1320,11.8
1465,5.99
1295,5.0
1202,-1.97
1373,-2.14
1196,33.75
1222,33.37
1228,32.09
1304,26.15
1435,27.48
1314,20.82
1388,23.15
1155,19.21
1234,22.44
1401,18.63
1433,17.13
1270,12.54
1407,1.8
1335,1.33
1225,1.51
1250,-10.41
1341,-10.69
1276,37.58
1235,32.37
1438,26.69
1104,25.68
1403,25.19
1397,25.98
1246,21.45
1208,20.45
1387,18.27
1365,19.48
1275,8.27
1374,18.07
1103,12.79
1220,9.53
1460,2.04
1398,-1.81
1224,-2.92
1420,-1.94
1112,37.6
1345,31.18
1211,28.19
1116,26.01
1458,23.39
1140,23.21
1274,20.67
1437,19.94
1429,20.84
1281,15.36
1301,19.49
1400,19.13
1219,8.4
1218,5.9
1244,0.76
1474,-1.44
1254,-3.96
