TeamName,Seed,Sim_Champ_Pct,Exp_Champ_Pct,Champ_ValueRatio,Sim_F4_Pct,Exp_F4_Pct,F4_ValueRatio
Duke,1,37.89,16.0,2.37,72.1,40.0,1.8
Illinois,3,5.76,3.8,1.52,31.84,14.0,2.27
Vanderbilt,5,1.6,1.2,1.33,13.93,5.8,2.4
Purdue,2,8.55,6.5,1.32,31.92,23.0,1.39
Iowa State,2,6.72,6.5,1.03,32.46,23.0,1.41
Arkansas,4,2.01,2.2,0.91,12.3,9.5,1.29
Michigan,1,12.87,16.0,0.8,43.6,40.0,1.09
Arizona,1,12.1,16.0,0.76,38.19,40.0,0.95
Louisville,6,0.41,0.9,0.46,4.27,4.4,0.97
Alabama,4,0.96,2.2,0.44,9.26,9.5,0.97
Gonzaga,3,1.53,3.8,0.4,11.1,14.0,0.79
Iowa,9,0.13,0.4,0.32,2.77,2.2,1.26
Florida,1,4.3,16.0,0.27,28.16,40.0,0.7
Houston,2,1.6,6.5,0.25,15.42,23.0,0.67
Ohio State,8,0.12,0.5,0.24,1.83,2.7,0.68
Utah State,9,0.08,0.4,0.2,1.15,2.2,0.52
Connecticut,2,1.16,6.5,0.18,9.42,23.0,0.41
St. John's (NY),5,0.21,1.2,0.17,3.4,5.8,0.59
Saint Louis,9,0.07,0.4,0.17,1.59,2.2,0.72
Michigan State,3,0.66,3.8,0.17,6.18,14.0,0.44
Miami (OHIO),11,0.05,0.3,0.17,1.13,1.7,0.66
Texas Tech,5,0.17,1.2,0.14,2.98,5.8,0.51
Miami - Florida,7,0.07,0.7,0.1,1.13,3.4,0.33
Wisconsin,5,0.11,1.2,0.09,1.74,5.8,0.3
Brigham Young,6,0.08,0.9,0.09,1.38,4.4,0.31
Virginia,3,0.32,3.8,0.08,5.31,14.0,0.38
Virginia Commonwealth,11,0.02,0.3,0.07,0.98,1.7,0.58
UCLA,7,0.05,0.7,0.07,1.19,3.4,0.35
North Carolina State,11,0.02,0.3,0.07,0.28,1.7,0.16
Tennessee,6,0.05,0.9,0.06,1.49,4.4,0.34
Saint Mary's (CA),7,0.04,0.7,0.06,1.59,3.4,0.47
Nebraska,4,0.12,2.2,0.05,3.37,9.5,0.35
Georgia,8,0.02,0.5,0.04,0.59,2.7,0.22
Kentucky,7,0.03,0.7,0.04,1.0,3.4,0.29
Texas,11,0.01,0.3,0.03,0.33,1.7,0.19
Kansas,4,0.04,2.2,0.02,1.2,9.5,0.13
North Carolina,6,0.02,0.9,0.02,0.87,4.4,0.2
Clemson,8,0.01,0.5,0.02,0.54,2.7,0.2
Akron,12,0.0,0.2,0.0,0.2,1.0,0.2
Mcneese State,12,0.0,0.2,0.0,0.08,1.0,0.08
Missouri,10,0.0,0.3,0.0,0.12,1.8,0.07
North Dakota State,14,0.0,0.03,0.0,0.0,0.2,0.0
Long Island University,16,0.0,0.0,0.0,0.0,0.04,0.0
Howard,16,0.0,0.0,0.0,0.0,0.04,0.0
Hofstra,13,0.0,0.08,0.0,0.01,0.5,0.02
High Point,12,0.0,0.2,0.0,0.11,1.0,0.11
Furman,15,0.0,0.01,0.0,0.0,0.1,0.0
Hawai'i,13,0.0,0.08,0.0,0.0,0.5,0.0
Kennesaw State,14,0.0,0.03,0.0,0.0,0.2,0.0
Lehigh,16,0.0,0.0,0.0,0.0,0.04,0.0
Idaho,15,0.0,0.01,0.0,0.0,0.1,0.0
Northern Iowa,12,0.0,0.2,0.0,0.02,1.0,0.02
Tennessee State,15,0.0,0.01,0.0,0.0,0.1,0.0
Texas Christian,9,0.0,0.4,0.0,0.11,2.2,0.05
South Florida,11,0.0,0.3,0.0,0.15,1.7,0.09
Southern Methodist,11,0.0,0.3,0.0,0.0,1.7,0.0
Pennsylvania,14,0.0,0.03,0.0,0.0,0.2,0.0
Prairie View A&M,16,0.0,0.0,0.0,0.0,0.04,0.0
Santa Clara,10,0.0,0.3,0.0,0.38,1.8,0.21
Siena,16,0.0,0.0,0.0,0.0,0.04,0.0
Maryland-Baltimore County,16,0.0,0.0,0.0,0.0,0.04,0.0
Central Florida(UCF),10,0.0,0.3,0.0,0.13,1.8,0.07
Texas A&M,10,0.0,0.3,0.0,0.45,1.8,0.25
Troy St.,13,0.0,0.08,0.0,0.0,0.5,0.0
Villanova,8,0.0,0.5,0.0,0.25,2.7,0.09
Wright State,14,0.0,0.03,0.0,0.0,0.2,0.0
California Baptist,13,0.0,0.08,0.0,0.0,0.5,0.0
Queens (NC),15,0.0,0.01,0.0,0.0,0.1,0.0
